headline,label
THEY DON'T WANT YOU TO KNOW: social media exposed,FAKE
Economic indicators suggest stability in consumer spending,REAL
Environmental agency reports progress on agriculture goals,REAL
Meta reports quarterly earnings of $14 billion,REAL
Economic indicators suggest an increase in consumer spending,REAL
Google announces expansion into the Pacific Northwest market,REAL
France signs trade agreement with India,REAL
CONFIRMED: social media is a complete HOAX created by the elite,FAKE
EXPOSED: The truth about climate data they don't want you to know,FAKE
ALERT: climate data causes end democracy — doctors are STUNNED,FAKE
Chicago mayor announces infrastructure development plan,REAL
You WON'T BELIEVE what a world leader did to taxpayers!!!,FAKE
BREAKING: a Hollywood star caught covering up scandals in secret a mansion!!!,FAKE
THEY DON'T WANT YOU TO KNOW: education system exposed,FAKE
University researchers publish findings on housing,REAL
THEY DON'T WANT YOU TO KNOW: elections exposed,FAKE
Local school district approves new housing curriculum,REAL
Scientists BAFFLED by healthcare that hiding evidence,FAKE
Senate passes bipartisan climate reform bill,REAL
Senate passes bipartisan cybersecurity reform bill,REAL
Senate passes bipartisan education reform bill,REAL
LOOK what a billionaire was caught doing at a mansion!!!,FAKE
South Korea signs trade agreement with United States,REAL
Department of Interior releases updated guidelines,REAL
SHOCKING: Government hiding 5G towers from the public,FAKE
EXPOSED: The truth about food supply they don't want you to know,FAKE
Federal Reserve announces 10% interest rate adjustment,REAL
India signs trade agreement with South Korea,REAL
Is the economy secretly controlled by the elite? Evidence says YES,FAKE
Scientists BAFFLED by education system that making secret deals,FAKE
LOOK what a tech mogul was caught doing at a lab!!!,FAKE
International summit addresses energy concerns,REAL
PROOF: climate data is being used to stealing money,FAKE
MIRACLE food supply that destroying documents — Big Pharma HATES this,FAKE
You WON'T BELIEVE what a celebrity did to voters!!!,FAKE
Microsoft to invest $29 million in renewable energy,REAL
BREAKING: a Senator caught covering up scandals in secret a mansion!!!,FAKE
THEY DON'T WANT YOU TO KNOW: vaccines exposed,FAKE
Federal Reserve announces 8% interest rate adjustment,REAL
BREAKING NEWS: a billionaire admits to hiding evidence on live TV!!!,FAKE
Economic indicators suggest a notable shift in consumer spending,REAL
Is education system secretly controlled by shadow government? Evidence says YES,FAKE
CONFIRMED: social media is a complete HOAX created by big corporations,FAKE
BREAKING NEWS: the CEO admits to making secret deals on live TV!!!,FAKE
Environmental agency reports progress on technology goals,REAL
CONFIRMED: the economy is a complete HOAX created by secret societies,FAKE
LOOK what a billionaire was caught doing at a private island!!!,FAKE
WARNING: an insider planning to covering up scandals — leaked documents reveal,FAKE
Federal Reserve announces 15% interest rate adjustment,REAL
WARNING: a politician planning to stealing money — leaked documents reveal,FAKE
Economic indicators suggest an increase in consumer spending,REAL
BREAKING NEWS: a celebrity admits to stealing money on live TV!!!,FAKE
Microsoft announces expansion into the Midwest market,REAL
EXPOSED: The truth about the economy they don't want you to know,FAKE
Federal Reserve announces 4% interest rate adjustment,REAL
Supreme Court to hear arguments on healthcare case,REAL
Japan signs trade agreement with Australia,REAL
Local school district approves new healthcare curriculum,REAL
International summit addresses technology concerns,REAL
Boeing announces expansion into East Asia market,REAL
Houston mayor announces infrastructure development plan,REAL
Department of Commerce releases updated guidelines,REAL
MIRACLE food supply that stealing money — Big Pharma HATES this,FAKE
LOOK what a world leader was caught doing at a private island!!!,FAKE
CONFIRMED: water supply is a complete HOAX created by secret societies,FAKE
Apple announces expansion into the Midwest market,REAL
Federal Reserve announces 6% interest rate adjustment,REAL
MIRACLE elections that conspiring against democracy — Big Pharma HATES this,FAKE
SHOCKING: Government hiding healthcare from the public,FAKE
BREAKING NEWS: a Senator admits to faking data on live TV!!!,FAKE
CENSORED: The climate data story mainstream media won't cover,FAKE
Department of Defense releases updated guidelines,REAL
Transportation authority unveils public transit improvement plan,REAL
New study finds link between sleep and increased cognitive function,REAL
Annual report shows 4% change in manufacturing output,REAL
SECRET vaccines discovered that conspiring against democracy overnight,FAKE
University researchers publish findings on housing,REAL
Apple announces expansion into the Midwest market,REAL
TOP SECRET: the deep state caught planning social media,FAKE
LOOK what the President was caught doing at a lab!!!,FAKE
Department of Agriculture releases updated guidelines,REAL
Is water supply secretly controlled by the deep state? Evidence says YES,FAKE
BREAKING: the CEO caught manipulating elections in secret a mansion!!!,FAKE
SECRET vaccines discovered that making secret deals overnight,FAKE
Transportation authority unveils airport improvement plan,REAL
Annual report shows 2% change in employment,REAL
BREAKING: a world leader caught lying to citizens in secret a mansion!!!,FAKE
Portland mayor announces infrastructure development plan,REAL
LOOK what a billionaire was caught doing at a private island!!!,FAKE
THEY DON'T WANT YOU TO KNOW: vaccines exposed,FAKE
Senate passes bipartisan housing reform bill,REAL
CENSORED: The social media story mainstream media won't cover,FAKE
Department of Justice releases updated guidelines,REAL
ALERT: healthcare causes cause widespread panic — doctors are STUNNED,FAKE
Denver mayor announces infrastructure development plan,REAL
TOP SECRET: shadow government caught planning the economy,FAKE
EXPOSED: The truth about food supply they don't want you to know,FAKE
Local school district approves new education curriculum,REAL
United States signs trade agreement with Canada,REAL
Healthcare officials recommend preventive vaccination for flu season,REAL
PROOF: the economy is being used to faking data,FAKE
SHOCKING: Government hiding elections from the public,FAKE
National weather service issues advisory for the Pacific Northwest,REAL
Environmental agency reports progress on education goals,REAL
TOP SECRET: shadow government caught planning the economy,FAKE
SHOCKING: Government hiding vaccines from the public,FAKE
BREAKING: a Hollywood star caught spying on people in secret the White House!!!,FAKE
MIRACLE food supply that lying to citizens — Big Pharma HATES this,FAKE
ALERT: elections causes end democracy — doctors are STUNNED,FAKE
LOOK what a celebrity was caught doing at the White House!!!,FAKE
Senate passes bipartisan housing reform bill,REAL
Healthcare officials recommend preventive vaccination for flu season,REAL
WARNING: a Hollywood star planning to spying on people — leaked documents reveal,FAKE
SHOCKING: Government hiding education system from the public,FAKE
Samsung to invest $6 million in renewable energy,REAL
Is vaccines secretly controlled by big corporations? Evidence says YES,FAKE
Seattle mayor announces infrastructure development plan,REAL
LOOK what a Hollywood star was caught doing at a mansion!!!,FAKE
Microsoft reports quarterly earnings of $12 billion,REAL
Economic indicators suggest a decrease in consumer spending,REAL
Environmental agency reports progress on energy goals,REAL
EXPOSED: The truth about 5G towers they don't want you to know,FAKE
You WON'T BELIEVE what an insider did to voters!!!,FAKE
Tesla announces expansion into Northern Europe market,REAL
a tech mogul EXPOSED for covering up scandals — the evidence is UNDENIABLE,FAKE
URGENT: food supply will end democracy by next week!!!,FAKE
BREAKING: a Hollywood star caught covering up scandals in secret a mansion!!!,FAKE
Environmental agency reports progress on healthcare goals,REAL
CONFIRMED: food supply is a complete HOAX created by big corporations,FAKE
Annual report shows 6% change in manufacturing output,REAL
Census data reveals population trends in East Asia,REAL
ALERT: water supply causes collapse society — doctors are STUNNED,FAKE
University researchers publish findings on healthcare,REAL
BOMBSHELL: a world leader secretly spying on people behind closed doors,FAKE
PROOF: education system is being used to covering up scandals,FAKE
a politician EXPOSED for spying on people — the evidence is UNDENIABLE,FAKE
New York mayor announces infrastructure development plan,REAL
BOMBSHELL: a world leader secretly spying on people behind closed doors,FAKE
CONFIRMED: vaccines is a complete HOAX created by the deep state,FAKE
Economic indicators suggest stability in consumer spending,REAL
Meta to invest $4 million in renewable energy,REAL
Boeing reports quarterly earnings of $29 billion,REAL
University researchers publish findings on technology,REAL
PROOF: elections is being used to conspiring against democracy,FAKE
URGENT: climate data will cause widespread panic by next week!!!,FAKE
SECRET healthcare discovered that stealing money overnight,FAKE
New study finds link between diet and increased cognitive function,REAL
Annual report shows 1% change in retail sales,REAL
Supreme Court to hear arguments on healthcare case,REAL
Denver mayor announces infrastructure development plan,REAL
CENSORED: The climate data story mainstream media won't cover,FAKE
Brazil signs trade agreement with Brazil,REAL
Environmental agency reports progress on energy goals,REAL
WARNING: a Hollywood star planning to stealing money — leaked documents reveal,FAKE
Scientists BAFFLED by elections that faking data,FAKE
SHOCKING: Government hiding climate data from the public,FAKE
Amazon reports quarterly earnings of $20 billion,REAL
BREAKING NEWS: a Senator admits to stealing money on live TV!!!,FAKE
BOMBSHELL: a celebrity secretly spying on people behind closed doors,FAKE
New study finds link between reading and increased cognitive function,REAL
Seattle mayor announces infrastructure development plan,REAL
CENSORED: The the economy story mainstream media won't cover,FAKE
CONFIRMED: climate data is a complete HOAX created by shadow government,FAKE
Intel announces expansion into the Pacific Northwest market,REAL
Healthcare officials recommend preventive vaccination for flu season,REAL
National weather service issues advisory for the Southeast,REAL
Census data reveals population trends in the Southwest,REAL
South Korea signs trade agreement with Canada,REAL
Healthcare officials recommend preventive vaccination for flu season,REAL
WARNING: a celebrity planning to destroying documents — leaked documents reveal,FAKE
Department of Health releases updated guidelines,REAL
LOOK what a tech mogul was caught doing at the White House!!!,FAKE
BOMBSHELL: a billionaire secretly stealing money behind closed doors,FAKE
MIRACLE vaccines that covering up scandals — Big Pharma HATES this,FAKE
ALERT: food supply causes change everything — doctors are STUNNED,FAKE
University researchers publish findings on transportation,REAL
LOOK what a billionaire was caught doing at a private island!!!,FAKE
MIRACLE vaccines that spying on people — Big Pharma HATES this,FAKE
University researchers publish findings on energy,REAL
CENSORED: The healthcare story mainstream media won't cover,FAKE
Is healthcare secretly controlled by secret societies? Evidence says YES,FAKE
MIRACLE the economy that hiding evidence — Big Pharma HATES this,FAKE
ALERT: healthcare causes destroy the economy — doctors are STUNNED,FAKE
National weather service issues advisory for the Midwest,REAL
International summit addresses cybersecurity concerns,REAL
TOP SECRET: big corporations caught planning water supply,FAKE
Annual report shows 9% change in housing prices,REAL
India signs trade agreement with Brazil,REAL
Environmental agency reports progress on housing goals,REAL
Amazon to invest $18 million in renewable energy,REAL
You WON'T BELIEVE what a billionaire did to children!!!,FAKE
SECRET elections discovered that stealing money overnight,FAKE
Samsung reports quarterly earnings of $8 billion,REAL
National weather service issues advisory for the Midwest,REAL
SECRET vaccines discovered that faking data overnight,FAKE
University researchers publish findings on education,REAL
CENSORED: The the economy story mainstream media won't cover,FAKE
BREAKING: a billionaire caught hiding evidence in secret a bunker!!!,FAKE
CENSORED: The healthcare story mainstream media won't cover,FAKE
University researchers publish findings on cybersecurity,REAL
WARNING: a celebrity planning to making secret deals — leaked documents reveal,FAKE
New York mayor announces infrastructure development plan,REAL
BREAKING: a billionaire caught manipulating elections in secret a private island!!!,FAKE
CONFIRMED: food supply is a complete HOAX created by the deep state,FAKE
Census data reveals population trends in the Southeast,REAL
THEY DON'T WANT YOU TO KNOW: healthcare exposed,FAKE
Federal Reserve announces 1% interest rate adjustment,REAL
Annual report shows 12% change in employment,REAL
LOOK what a Senator was caught doing at a lab!!!,FAKE
MIRACLE education system that making secret deals — Big Pharma HATES this,FAKE
New study finds link between diet and better sleep quality,REAL
You WON'T BELIEVE what the CEO did to citizens!!!,FAKE
Environmental agency reports progress on energy goals,REAL
MIRACLE water supply that covering up scandals — Big Pharma HATES this,FAKE
Microsoft announces expansion into Northern Europe market,REAL
CENSORED: The water supply story mainstream media won't cover,FAKE
EXPOSED: The truth about climate data they don't want you to know,FAKE
National weather service issues advisory for the Northeast,REAL
MIRACLE 5G towers that faking data — Big Pharma HATES this,FAKE
LOOK what a Senator was caught doing at a lab!!!,FAKE
SHOCKING: Government hiding vaccines from the public,FAKE
Supreme Court to hear arguments on energy case,REAL
URGENT: elections will cause widespread panic by next week!!!,FAKE
Department of Commerce releases updated guidelines,REAL
URGENT: vaccines will destroy the economy by next week!!!,FAKE
SECRET the economy discovered that hiding evidence overnight,FAKE
SECRET vaccines discovered that lying to citizens overnight,FAKE
Census data reveals population trends in Northern Europe,REAL
Economic indicators suggest an increase in consumer spending,REAL
THEY DON'T WANT YOU TO KNOW: vaccines exposed,FAKE
TOP SECRET: secret societies caught planning social media,FAKE
Scientists BAFFLED by 5G towers that making secret deals,FAKE
SHOCKING: Government hiding 5G towers from the public,FAKE
BREAKING NEWS: a tech mogul admits to covering up scandals on live TV!!!,FAKE
Is elections secretly controlled by big corporations? Evidence says YES,FAKE
Environmental agency reports progress on climate goals,REAL
Federal Reserve announces 11% interest rate adjustment,REAL
SHOCKING: Government hiding climate data from the public,FAKE
You WON'T BELIEVE what the CEO did to voters!!!,FAKE
THEY DON'T WANT YOU TO KNOW: 5G towers exposed,FAKE
Meta announces expansion into East Asia market,REAL
PROOF: 5G towers is being used to conspiring against democracy,FAKE
Census data reveals population trends in the Pacific Northwest,REAL
Supreme Court to hear arguments on energy case,REAL
Local school district approves new healthcare curriculum,REAL
Senate passes bipartisan cybersecurity reform bill,REAL
New study finds link between sleep and better sleep quality,REAL
SECRET vaccines discovered that manipulating elections overnight,FAKE
LOOK what a Hollywood star was caught doing at the White House!!!,FAKE
National weather service issues advisory for the Midwest,REAL
a world leader EXPOSED for hiding evidence — the evidence is UNDENIABLE,FAKE
a world leader EXPOSED for manipulating elections — the evidence is UNDENIABLE,FAKE
THEY DON'T WANT YOU TO KNOW: water supply exposed,FAKE
EXPOSED: The truth about food supply they don't want you to know,FAKE
Microsoft announces expansion into the Southwest market,REAL
Intel announces expansion into the Pacific Northwest market,REAL
CONFIRMED: 5G towers is a complete HOAX created by the deep state,FAKE
BREAKING NEWS: a Hollywood star admits to lying to citizens on live TV!!!,FAKE
Transportation authority unveils public transit improvement plan,REAL
TOP SECRET: shadow government caught planning climate data,FAKE
Is social media secretly controlled by big corporations? Evidence says YES,FAKE
LOOK what the CEO was caught doing at a private island!!!,FAKE
MIRACLE education system that stealing money — Big Pharma HATES this,FAKE
THEY DON'T WANT YOU TO KNOW: water supply exposed,FAKE
Healthcare officials recommend preventive vaccination for flu season,REAL
National weather service issues advisory for the Southwest,REAL
Google to invest $7 million in renewable energy,REAL
PROOF: healthcare is being used to conspiring against democracy,FAKE
University researchers publish findings on climate,REAL
CENSORED: The 5G towers story mainstream media won't cover,FAKE
Amazon reports quarterly earnings of $14 billion,REAL
BOMBSHELL: a tech mogul secretly hiding evidence behind closed doors,FAKE
THEY DON'T WANT YOU TO KNOW: climate data exposed,FAKE
EXPOSED: The truth about 5G towers they don't want you to know,FAKE
CONFIRMED: social media is a complete HOAX created by the deep state,FAKE
Federal Reserve announces 3% interest rate adjustment,REAL
SECRET climate data discovered that conspiring against democracy overnight,FAKE
Microsoft reports quarterly earnings of $4 billion,REAL
Phoenix mayor announces infrastructure development plan,REAL
SHOCKING: Government hiding the economy from the public,FAKE
SECRET food supply discovered that stealing money overnight,FAKE
You WON'T BELIEVE what an insider did to voters!!!,FAKE
Netflix announces expansion into the Southeast market,REAL
Economic indicators suggest a decrease in consumer spending,REAL
Tesla to invest $41 million in renewable energy,REAL
Annual report shows 10% change in retail sales,REAL
WARNING: an insider planning to destroying documents — leaked documents reveal,FAKE
CENSORED: The water supply story mainstream media won't cover,FAKE
BREAKING: the President caught manipulating elections in secret a bunker!!!,FAKE
Economic indicators suggest a notable shift in consumer spending,REAL
Senate passes bipartisan healthcare reform bill,REAL
BREAKING NEWS: the CEO admits to hiding evidence on live TV!!!,FAKE
Is education system secretly controlled by shadow government? Evidence says YES,FAKE
Intel to invest $36 million in renewable energy,REAL
Census data reveals population trends in the Southeast,REAL
PROOF: education system is being used to covering up scandals,FAKE
Chicago mayor announces infrastructure development plan,REAL
MIRACLE the economy that destroying documents — Big Pharma HATES this,FAKE
EXPOSED: The truth about elections they don't want you to know,FAKE
International summit addresses energy concerns,REAL
BREAKING NEWS: the CEO admits to lying to citizens on live TV!!!,FAKE
Scientists BAFFLED by 5G towers that destroying documents,FAKE
Tesla reports quarterly earnings of $50 billion,REAL
Senate passes bipartisan healthcare reform bill,REAL
Phoenix mayor announces infrastructure development plan,REAL
Federal Reserve announces 5% interest rate adjustment,REAL
India signs trade agreement with Japan,REAL
MIRACLE 5G towers that spying on people — Big Pharma HATES this,FAKE
Is the economy secretly controlled by secret societies? Evidence says YES,FAKE
THEY DON'T WANT YOU TO KNOW: water supply exposed,FAKE
BOMBSHELL: a tech mogul secretly faking data behind closed doors,FAKE
CENSORED: The elections story mainstream media won't cover,FAKE
Local school district approves new technology curriculum,REAL
Netflix to invest $11 million in renewable energy,REAL
Transportation authority unveils rail improvement plan,REAL
Annual report shows 7% change in manufacturing output,REAL
SHOCKING: Government hiding education system from the public,FAKE
TOP SECRET: secret societies caught planning 5G towers,FAKE
Department of Labor releases updated guidelines,REAL
Transportation authority unveils airport improvement plan,REAL
BREAKING NEWS: an insider admits to destroying documents on live TV!!!,FAKE
Census data reveals population trends in East Asia,REAL
South Korea signs trade agreement with Brazil,REAL
International summit addresses energy concerns,REAL
Senate passes bipartisan transportation reform bill,REAL
Annual report shows 6% change in housing prices,REAL
LOOK what a tech mogul was caught doing at a lab!!!,FAKE
United Kingdom signs trade agreement with Australia,REAL
Department of Education releases updated guidelines,REAL
Apple announces expansion into the Southeast market,REAL
BREAKING NEWS: a world leader admits to destroying documents on live TV!!!,FAKE
EXPOSED: The truth about education system they don't want you to know,FAKE
CENSORED: The social media story mainstream media won't cover,FAKE
Department of Agriculture releases updated guidelines,REAL
Healthcare officials recommend preventive vaccination for flu season,REAL
EXPOSED: The truth about education system they don't want you to know,FAKE
LOOK what an insider was caught doing at a mansion!!!,FAKE
National weather service issues advisory for the Southwest,REAL
Local school district approves new healthcare curriculum,REAL
Netflix announces expansion into the Southwest market,REAL
Federal Reserve announces 12% interest rate adjustment,REAL
THEY DON'T WANT YOU TO KNOW: 5G towers exposed,FAKE
BREAKING: an insider caught destroying documents in secret the White House!!!,FAKE
PROOF: vaccines is being used to covering up scandals,FAKE
You WON'T BELIEVE what the CEO did to children!!!,FAKE
Is healthcare secretly controlled by big corporations? Evidence says YES,FAKE
Scientists BAFFLED by 5G towers that making secret deals,FAKE
CENSORED: The climate data story mainstream media won't cover,FAKE
THEY DON'T WANT YOU TO KNOW: vaccines exposed,FAKE
Is vaccines secretly controlled by shadow government? Evidence says YES,FAKE
WARNING: an insider planning to faking data — leaked documents reveal,FAKE
Healthcare officials recommend preventive vaccination for flu season,REAL
SHOCKING: Government hiding education system from the public,FAKE
a billionaire EXPOSED for hiding evidence — the evidence is UNDENIABLE,FAKE
New study finds link between reading and increased cognitive function,REAL
Netflix to invest $33 million in renewable energy,REAL
SHOCKING: Government hiding vaccines from the public,FAKE
Scientists BAFFLED by social media that lying to citizens,FAKE
Google reports quarterly earnings of $33 billion,REAL
a Hollywood star EXPOSED for spying on people — the evidence is UNDENIABLE,FAKE
URGENT: 5G towers will collapse society by next week!!!,FAKE
Transportation authority unveils airport improvement plan,REAL
Environmental agency reports progress on education goals,REAL
United States signs trade agreement with France,REAL
WARNING: a politician planning to lying to citizens — leaked documents reveal,FAKE
Annual report shows 8% change in employment,REAL
Economic indicators suggest stability in consumer spending,REAL
Transportation authority unveils rail improvement plan,REAL
Supreme Court to hear arguments on energy case,REAL
Federal Reserve announces 12% interest rate adjustment,REAL
SECRET education system discovered that hiding evidence overnight,FAKE
Senate passes bipartisan energy reform bill,REAL
THEY DON'T WANT YOU TO KNOW: the economy exposed,FAKE
You WON'T BELIEVE what an insider did to children!!!,FAKE
University researchers publish findings on housing,REAL
Census data reveals population trends in East Asia,REAL
URGENT: vaccines will end democracy by next week!!!,FAKE
CENSORED: The vaccines story mainstream media won't cover,FAKE
Environmental agency reports progress on climate goals,REAL
WARNING: a billionaire planning to making secret deals — leaked documents reveal,FAKE
Senate passes bipartisan agriculture reform bill,REAL
BOMBSHELL: the CEO secretly lying to citizens behind closed doors,FAKE
Amazon reports quarterly earnings of $37 billion,REAL
New study finds link between reading and improved cardiovascular health,REAL
You WON'T BELIEVE what a celebrity did to citizens!!!,FAKE
SHOCKING: Government hiding the economy from the public,FAKE
WARNING: a Hollywood star planning to conspiring against democracy — leaked documents reveal,FAKE
You WON'T BELIEVE what a Senator did to taxpayers!!!,FAKE
New study finds link between reading and better sleep quality,REAL
New study finds link between sleep and improved cardiovascular health,REAL
CENSORED: The water supply story mainstream media won't cover,FAKE
University researchers publish findings on education,REAL
CONFIRMED: food supply is a complete HOAX created by big corporations,FAKE
Healthcare officials recommend preventive vaccination for flu season,REAL
Transportation authority unveils public transit improvement plan,REAL
Environmental agency reports progress on immigration goals,REAL
Transportation authority unveils bridge improvement plan,REAL
Is climate data secretly controlled by shadow government? Evidence says YES,FAKE
Scientists BAFFLED by healthcare that conspiring against democracy,FAKE
BREAKING: a politician caught covering up scandals in secret a lab!!!,FAKE
LOOK what a billionaire was caught doing at a private island!!!,FAKE
CENSORED: The water supply story mainstream media won't cover,FAKE
Transportation authority unveils public transit improvement plan,REAL
LOOK what a tech mogul was caught doing at a lab!!!,FAKE
Annual report shows 10% change in GDP growth,REAL
EXPOSED: The truth about the economy they don't want you to know,FAKE
the CEO EXPOSED for destroying documents — the evidence is UNDENIABLE,FAKE
Apple announces expansion into the Southeast market,REAL
Environmental agency reports progress on cybersecurity goals,REAL
Boeing reports quarterly earnings of $23 billion,REAL
Healthcare officials recommend preventive vaccination for flu season,REAL
Scientists BAFFLED by healthcare that making secret deals,FAKE
Microsoft to invest $47 million in renewable energy,REAL
EXPOSED: The truth about elections they don't want you to know,FAKE
ALERT: elections causes cause widespread panic — doctors are STUNNED,FAKE
Economic indicators suggest stability in consumer spending,REAL
CONFIRMED: climate data is a complete HOAX created by big corporations,FAKE
New study finds link between meditation and improved cardiovascular health,REAL
Is climate data secretly controlled by the elite? Evidence says YES,FAKE
CONFIRMED: vaccines is a complete HOAX created by the deep state,FAKE
Economic indicators suggest an increase in consumer spending,REAL
Senate passes bipartisan cybersecurity reform bill,REAL
THEY DON'T WANT YOU TO KNOW: food supply exposed,FAKE
LOOK what a politician was caught doing at a lab!!!,FAKE
Seattle mayor announces infrastructure development plan,REAL
ALERT: healthcare causes end democracy — doctors are STUNNED,FAKE
Annual report shows 14% change in housing prices,REAL
Google reports quarterly earnings of $30 billion,REAL
Federal Reserve announces 4% interest rate adjustment,REAL
ALERT: social media causes cause widespread panic — doctors are STUNNED,FAKE
THEY DON'T WANT YOU TO KNOW: social media exposed,FAKE
Annual report shows 4% change in manufacturing output,REAL
Census data reveals population trends in the Southeast,REAL
Economic indicators suggest a notable shift in consumer spending,REAL
CONFIRMED: food supply is a complete HOAX created by shadow government,FAKE
PROOF: climate data is being used to manipulating elections,FAKE
URGENT: healthcare will end democracy by next week!!!,FAKE
Senate passes bipartisan healthcare reform bill,REAL
Supreme Court to hear arguments on education case,REAL
National weather service issues advisory for the Northeast,REAL
Census data reveals population trends in East Asia,REAL
EXPOSED: The truth about education system they don't want you to know,FAKE
a politician EXPOSED for faking data — the evidence is UNDENIABLE,FAKE
Federal Reserve announces 3% interest rate adjustment,REAL
Environmental agency reports progress on education goals,REAL
